股票代码,股票简称,最新价,最新涨跌幅,涨停[20260427],首次涨停时间[20260427],最终涨停时间[20260427],涨停明细数据[20260427],连续涨停天数[20260427],涨停原因类别[20260427],涨停封单量[20260427],涨停封单额[20260427],涨停封单量占成交量比[20260427],涨停封单量占流通a股比[20260427],涨停开板次数[20260427],a股市值(不含限售股)[20260427],几天几板[20260427],涨停类型[20260427],market_code,code,所属概念,主力资金流向区间增长值[20260424-20260430],主力资金流向[20260427],主力资金流向[20260430],量比[20260430],所属概念数量,a股市值(不含限售股)[20260430],换手率[20260430],振幅[20260430],主力资金流向[20260428],主力资金流向[20260429],主力资金流向[20260424],lbc,main,chg5,amt,volr,concepts
000056.SZ,*ST皇庭,1.74,-4.91803278688525,涨停, 13:00:22, 13:00:22,"[{""code"":""000056.SZ"",""time"":1777266022397,""openTime"":null,""duration"":7177603,""updatedTime"":1777273200000,""firstVol"":1.0649166E7,""highestVol"":1.9146666E7,""firstVolDivLTGB"":0.011783528485765237,""firstVolDivVol"":0.08034197611110942,""highestVolDivLTGB"":0.02118619281720585,""highestVolDivVol"":0.14072453193963122}]",1,功率半导体+第三代半导体+商业管理,2937100,5962312.999999999,1.7899604433429313,0.32499635666812854,0,1834578412.24,首板涨停,地天板涨停||放量涨停,33,000056,,,,,,,,,,,,,1,0.0,0,0,1.7899604433429313,
000062.SZ,深圳华强,36.92,3.562412342215998,涨停, 09:37:53, 11:10:16,"[{""code"":""000062.SZ"",""time"":1777253873551,""openTime"":1777253888551,""duration"":15000,""updatedTime"":1777253888551,""firstVol"":3054787.0,""highestVol"":3054787.0,""firstVolDivLTGB"":0.00292352069565404,""firstVolDivVol"":0.04928604945882887,""highestVolDivLTGB"":0.00292352069565404,""highestVolDivVol"":0.04928604945882887},{""code"":""000062.SZ"",""time"":1777253964829,""openTime"":1777253984814,""duration"":19985,""updatedTime"":1777253984814,""firstVol"":9182475.0,""highestVol"":9182475.0,""firstVolDivLTGB"":0.008787897715888483,""firstVolDivVol"":0.1294778683754793,""highestVolDivLTGB"":0.008787897715888483,""highestVolDivVol"":0.1294778683754793},{""code"":""000062.SZ"",""time"":1777253999814,""openTime"":1777254112827,""duration"":113013,""updatedTime"":1777254112827,""firstVol"":161675.0,""highestVol"":161675.0,""firstVolDivLTGB"":1.547277137390813E-4,""firstVolDivVol"":0.0021359648684742393,""highestVolDivLTGB"":1.547277137390813E-4,""highestVolDivVol"":0.0021359648684742393},{""code"":""000062.SZ"",""time"":1777254525788,""openTime"":1777254564805,""duration"":39017,""updatedTime"":1777254564805,""firstVol"":1248025.0,""highestVol"":1248025.0,""firstVolDivLTGB"":0.0011943965049588182,""firstVolDivVol"":0.014044969267623206,""highestVolDivLTGB"":0.0011943965049588182,""highestVolDivVol"":0.014044969267623206},{""code"":""000062.SZ"",""time"":1777254666535,""openTime"":1777259146808,""duration"":4480273,""updatedTime"":1777259146808,""firstVol"":9669400.0,""highestVol"":1.0964756E7,""firstVolDivLTGB"":0.009253899212795253,""firstVolDivVol"":0.10591863040618767,""highestVolDivLTGB"":0.010493592872038807,""highestVolDivVol"":0.11951289927120796},{""code"":""000062.SZ"",""time"":1777259176808,""openTime"":1777259191808,""duration"":15000,""updatedTime"":1777259191808,""firstVol"":6100.0,""highestVol"":6100.0,""firstVolDivLTGB"":5.837878792691485E-6,""firstVolDivVol"":6.177906865197991E-5,""highestVolDivLTGB"":5.837878792691485E-6,""highestVolDivVol"":6.177906865197991E-5},{""code"":""000062.SZ"",""time"":1777259236810,""openTime"":1777259311810,""duration"":75000,""updatedTime"":1777259311810,""firstVol"":161100.0,""highestVol"":190200.0,""firstVolDivLTGB"":1.5417742188567185E-4,""firstVolDivVol"":0.0016023147490417044,""highestVolDivLTGB"":1.8202697481474106E-4,""highestVolDivVol"":0.001878469464955404},{""code"":""000062.SZ"",""time"":1777259326810,""openTime"":1777259341810,""duration"":15000,""updatedTime"":1777259341810,""firstVol"":39000.0,""highestVol"":39000.0,""firstVolDivLTGB"":3.732414310081441E-5,""firstVolDivVol"":3.834602993326493E-4,""highestVolDivLTGB"":3.732414310081441E-5,""highestVolDivVol"":3.834602993326493E-4},{""code"":""000062.SZ"",""time"":1777259386810,""openTime"":1777259401810,""duration"":15000,""updatedTime"":1777259401810,""firstVol"":9896.0,""highestVol"":9896.0,""firstVolDivLTGB"":9.470762054504089E-6,""firstVolDivVol"":9.646009390549999E-5,""highestVolDivLTGB"":9.470762054504089E-6,""highestVolDivVol"":9.646009390549999E-5},{""code"":""000062.SZ"",""time"":1777259416810,""openTime"":null,""duration"":8370162,""updatedTime"":1777273200000,""firstVol"":85996.0,""highestVol"":6860334.0,""firstVolDivLTGB"":8.230069256660606E-5,""firstVolDivVol"":8.359974050988959E-4,""highestVolDivLTGB"":0.00656554071629186,""highestVolDivVol"":0.06643097150062215}]",2,华为昇腾+分销龙头+存储芯片+一季报预增,3006710,113563436.7,2.796640697565647,0.2877509597503839,9,39465875908.29,4天3板,放量涨停,33,000062,,,,,,,,,,,,,3,0.0,0,0,2.796640697565647,
000565.SZ,渝三峡A,7.87,-2.1144278606965057,涨停, 10:16:11, 10:16:11,"[{""code"":""000565.SZ"",""time"":1777256171850,""openTime"":null,""duration"":11615122,""updatedTime"":1777273200000,""firstVol"":4.335505E7,""highestVol"":4.364375E7,""firstVolDivLTGB"":0.09999037805613763,""firstVolDivVol"":1.7684392671625497,""highestVolDivLTGB"":0.10065621103625891,""highestVolDivVol"":1.7579292148692889}]",1,业绩大增+辐射制冷+航天涂料+重庆国资,12845200,103018504.0,46.96042290556667,2.9625070302230054,0,3477409604.4,首板涨停,放量涨停,33,000565,,,,,,,,,,,,,1,0.0,0,0,46.96042290556667,
000593.SZ,德龙汇能,25.3,-5.278921752152751,涨停, 09:36:03, 09:36:03,"[{""code"":""000593.SZ"",""time"":1777253763454,""openTime"":null,""duration"":14023518,""updatedTime"":1777273200000,""firstVol"":4191600.0,""highestVol"":8697051.0,""firstVolDivLTGB"":0.011692599157981667,""firstVolDivVol"":0.23405828339390095,""highestVolDivLTGB"":0.024260695486096866,""highestVolDivVol"":0.4679504766346546}]",1,实控人变更+燃气+氢能+网红游资持仓,2331566,53929121.58,10.582228486607153,0.6503976202018009,0,8291715698.97,3天2板,缩量涨停,33,000593,,,,,,,,,,,,,2,0.0,0,0,10.582228486607153,
000609.SZ,*ST中迪,14.42,5.0254916241806225,涨停, 09:30:00, 09:30:00,"[{""code"":""000609.SZ"",""time"":1777253400000,""openTime"":null,""duration"":14386972,""updatedTime"":1777273200000,""firstVol"":2.65883E7,""highestVol"":2.65883E7,""firstVolDivLTGB"":0.09135043583300048,""firstVolDivVol"":1055.0912698412699,""highestVolDivLTGB"":0.09135043583300048,""highestVolDivVol"":1055.0912698412699}]",5,半导体资产注入+房地产+ST博弈,7335500,91400330.0,1262.7818901704252,2.520285697291572,0,3626586069.12,8天6板,一字涨停||缩量涨停,33,000609,,,,,,,,,,,,,6,0.0,0,0,1262.7818901704252,
000820.SZ,*ST节能,3.75,-3.1007751937984525,涨停, 11:29:07, 11:29:07,"[{""code"":""000820.SZ"",""time"":1777260547484,""openTime"":null,""duration"":7239488,""updatedTime"":1777273200000,""firstVol"":373500.0,""highestVol"":1419600.0,""firstVolDivLTGB"":0.0012577160246730144,""firstVolDivVol"":0.030491528334997645,""highestVolDivLTGB"":0.00478033110743189,""highestVolDivVol"":0.11129924066257701}]",1,退市博弈+固废处理+冶金设计,1330152,4735341.12,10.315532361788438,0.44791257982620064,0,1057202082.12,首板涨停,放量涨停,33,000820,,,,,,,,,,,,,1,0.0,0,0,10.315532361788438,
000838.SZ,*ST发展,1.95,4.838709677419347,涨停, 11:07:31, 11:07:31,"[{""code"":""000838.SZ"",""time"":1777259251810,""openTime"":null,""duration"":8535162,""updatedTime"":1777273200000,""firstVol"":8091400.0,""highestVol"":1.494135E7,""firstVolDivLTGB"":0.007678555878051297,""firstVolDivVol"":0.08133475444491407,""highestVolDivLTGB"":0.014179003740826276,""highestVolDivVol"":0.1463827362041887}]",1,江西中久拟入主+房地产+环保+ST摘帽博弈,8471579,15248842.200000001,7.731983184583376,0.8039337163757314,0,1896778539.0,首板涨停,地天板涨停||放量涨停,33,000838,,,,,,,,,,,,,1,0.0,0,0,7.731983184583376,
000925.SZ,众合科技,9.19,-5.840163934426233,涨停, 09:30:00, 09:30:00,"[{""code"":""000925.SZ"",""time"":1777253400000,""openTime"":null,""duration"":14386972,""updatedTime"":1777273200000,""firstVol"":8.36249E7,""highestVol"":8.36249E7,""firstVolDivLTGB"":0.12421181880976259,""firstVolDivVol"":14.450724913165944,""highestVolDivLTGB"":0.12421181880976259,""highestVolDivVol"":14.450724913165944}]",3,算力租赁+商业航天+智慧交通,37795277,382488203.23999995,277.4754842166831,5.6139021972986365,0,6813232396.96,3天3板,一字涨停||缩量涨停,33,000925,,,,,,,,,,,,,3,0.0,0,0,277.4754842166831,
000952.SZ,广济药业,7.39,1.650618982118296,涨停, 13:51:09, 13:51:09,"[{""code"":""000952.SZ"",""time"":1777269069592,""openTime"":null,""duration"":4130408,""updatedTime"":1777273200000,""firstVol"":4.5559127E7,""highestVol"":4.5940427E7,""firstVolDivLTGB"":0.1324416192274962,""firstVolDivVol"":2.090327220018451,""highestVolDivLTGB"":0.13355006868069674,""highestVolDivVol"":2.0952380843791145}]",1,维生素B2+大健康布局+减亏+湖北国资,12852627,94466808.44999999,55.29530628478455,3.736293566834669,0,2528356157.25,首板涨停,放量涨停,33,000952,肝炎概念;流感;合成生物;维生素;仿制药一致性评价;国企改革,6453738.0,8031020.0,7269148.0,0.69503,6.0,2542115918.65,4.027808,3.026134,11881731.0,711711.0,815410.0,1,8031020.0,0,0,55.29530628478455,肝炎概念;流感;合成生物;维生素;仿制药一致性评价;国企改革
001211.SZ,双枪科技,41.73,3.037037037037029,涨停, 10:37:54, 11:10:01,"[{""code"":""001211.SZ"",""time"":1777257474438,""openTime"":1777257496621,""duration"":22183,""updatedTime"":1777257496621,""firstVol"":96500.0,""highestVol"":96500.0,""firstVolDivLTGB"":0.0014403721384264794,""firstVolDivVol"":0.009865760229924353,""highestVolDivLTGB"":0.0014403721384264794,""highestVolDivVol"":0.009865760229924353},{""code"":""001211.SZ"",""time"":1777258621805,""openTime"":1777259071808,""duration"":450003,""updatedTime"":1777259071808,""firstVol"":41700.0,""highestVol"":2749900.0,""firstVolDivLTGB"":6.22419877434033E-4,""firstVolDivVol"":0.003920682247602085,""highestVolDivLTGB"":0.041045381797502334,""highestVolDivVol"":0.25853905642411124},{""code"":""001211.SZ"",""time"":1777259401810,""openTime"":null,""duration"":8385162,""updatedTime"":1777273200000,""firstVol"":2956500.0,""highestVol"":2956500.0,""firstVolDivLTGB"":0.044129121525988454,""firstVolDivVol"":0.26891442072568417,""highestVolDivLTGB"":0.044129121525988454,""highestVolDivVol"":0.26891442072568417}]",2,金钢瓷放量+竹基禾塑托盘+全竹产业链,557800,21201978.0,4.840079537656998,0.832580806460039,2,2546536965.0,2天2板,放量涨停,33,001211,,,,,,,,,,,,,2,0.0,0,0,4.840079537656998,
001332.SZ,锡装股份,62.8,-1.828982335469754,涨停, 09:31:48, 09:31:48,"[{""code"":""001332.SZ"",""time"":1777253508406,""openTime"":null,""duration"":14278566,""updatedTime"":1777273200000,""firstVol"":2106000.0,""highestVol"":2770625.0,""firstVolDivLTGB"":0.043871800100580165,""firstVolDivVol"":1.5576923076923077,""highestVolDivLTGB"":0.057717144422445354,""highestVolDivVol"":1.9609838096080687}]",1,一季报大增+10转4派5+可控核聚变,1037200,65167276.0,56.544730960039246,2.1606757390466167,0,3016059967.83,首板涨停,T字涨停||放量涨停,33,001332,,,,,,,,,,,,,1,0.0,0,0,56.544730960039246,
002029.SZ,七匹狼,11.12,-0.9795191451469386,涨停, 10:19:56, 10:19:56,"[{""code"":""002029.SZ"",""time"":1777256396851,""openTime"":null,""duration"":11390121,""updatedTime"":1777273200000,""firstVol"":5.0653183E7,""highestVol"":5.0653183E7,""firstVolDivLTGB"":0.0761237291534385,""firstVolDivVol"":1.6413302993475207,""highestVolDivLTGB"":0.0761237291534385,""highestVolDivVol"":1.6413302993475207}]",1,商旅夹克+投资收益+男装+年报增长,11786678,131185726.14000002,35.04366782690232,1.7713514345007544,0,7405968323.67,首板涨停,放量涨停,33,002029,,,,,,,,,,,,,1,0.0,0,0,35.04366782690232,
002058.SZ,*ST威尔,25.1,-3.3127889060092426,涨停, 09:44:39, 09:52:43,"[{""code"":""002058.SZ"",""time"":1777254279850,""openTime"":1777254338492,""duration"":58642,""updatedTime"":1777254338492,""firstVol"":45400.0,""highestVol"":45400.0,""firstVolDivLTGB"":3.172212403153456E-4,""firstVolDivVol"":0.03642198154833534,""highestVolDivLTGB"":3.172212403153456E-4,""highestVolDivVol"":0.03642198154833534},{""code"":""002058.SZ"",""time"":1777254414051,""openTime"":1777254465146,""duration"":51095,""updatedTime"":1777254465146,""firstVol"":15900.0,""highestVol"":15900.0,""firstVolDivLTGB"":1.110973066302642E-4,""firstVolDivVol"":0.010635451505016722,""highestVolDivLTGB"":1.110973066302642E-4,""highestVolDivVol"":0.010635451505016722},{""code"":""002058.SZ"",""time"":1777254525788,""openTime"":1777254564805,""duration"":39017,""updatedTime"":1777254564805,""firstVol"":200.0,""highestVol"":200.0,""firstVolDivLTGB"":1.3974503978649584E-6,""firstVolDivVol"":1.2903225806451613E-4,""highestVolDivLTGB"":1.3974503978649584E-6,""highestVolDivVol"":1.2903225806451613E-4},{""code"":""002058.SZ"",""time"":1777254763614,""openTime"":null,""duration"":13023358,""updatedTime"":1777273200000,""firstVol"":375700.0,""highestVol"":539200.0,""firstVolDivLTGB"":0.0026251105723893247,""firstVolDivVol"":0.23161334073115097,""highestVolDivLTGB"":0.003767526272643928,""highestVolDivVol"":0.28863551201755794}]",1,铝塑膜+ST摘帽+固态电池,447500,11218825.0,23.18052318052318,0.31270082948734024,3,3594181408.24,首板涨停,放量涨停,33,002058,,,,,,,,,,,,,1,0.0,0,0,23.18052318052318,
002115.SZ,三维通信,14.41,-1.8392370572207055,涨停, 09:35:20, 09:35:20,"[{""code"":""002115.SZ"",""time"":1777253720312,""openTime"":null,""duration"":14066660,""updatedTime"":1777273200000,""firstVol"":6.521485E7,""highestVol"":6.7989712E7,""firstVolDivLTGB"":0.08669933179023456,""firstVolDivVol"":1.2846324375765001,""highestVolDivLTGB"":0.09038834865081331,""highestVolDivVol"":1.2915729683403712}]",1,一季报增长+商业航天+5G中标+AI营销,12377532,164992501.56,19.156859832060512,1.6455205426559223,0,10026766441.56,首板涨停,放量涨停,33,002115,,,,,,,,,,,,,1,0.0,0,0,19.156859832060512,
